"","egg.dens","b.depth","lat","lon","time","flow","s.depth","temp.surf","temp.20m","net.area","c.dist"
"551",2.61,144,57.75,-9.27,10.95,538,133,13.6,10.8,0.222,0.0873164841205154
"552",5.25,146,57.75,-8.78,13.2,704,133,13.8,12.8,0.222,0.364947673244137
"553",2.02,111,57.73,-8.28,15.98,524,110,14.2,10.2,0.222,0.584110434763841
"555",0.66,132,56.77,-8.25,22.37,641,120,12.8,10.8,0.222,0.566635652486079
"556",0.52,120,48.25,-5.75,13.08,51370,50,15.6,12,0.19,0.922733041727396
"557",13.69,139,48.25,-6.23,15.52,42178,50,14.9,13.2,0.19,0.69790379037366
"558",9.24,155,48.25,-6.75,18.23,27739,50,14.4,13.2,0.19,0.591381167463818
"559",2.21,172,48.25,-7.25,20.8,46494,65,14.3,14,0.19,0.382136818543952
"560",9.17,177,48.25,-7.75,23.25,40725,60,14.1,13.1,0.19,0.13663814878729
"561",14.62,178,48.25,-7.8,23.57,37048,65,14.1,13.1,0.19,0.117696052545246
"562",15.66,205,48.25,-8.25,1.55,20592,60,13.6,12.9,0.19,0.0357602758223198
"563",93.56,200,48.25,-8.75,3.98,116382,173,13.1,13,0.19,0.0678410534363076
"564",77.66,190,48.25,-8.8,5.12,305938,180,13.1,13,0.19,0.0726067328677162
"565",59.52,560,48.25,-9.23,8.8,20652,200,13.3,13.3,0.19,0.14285361350993
"566",57.72,520,48.25,-9.25,9.22,24944,200,13.3,13.3,0.19,0.154152246447609
"567",118.79,775,48.25,-9.75,11.7,17821,150,13.8,13.3,0.19,0.398079440219108
"568",62.8,906,48.25,-9.77,12.13,23283,150,13.8,13.3,0.19,0.404230073269193
"569",176.81,2000,48.25,-10.23,14.58,42029,207,14,13,0.19,0.527662855734974
"570",133.23,2000,48.25,-10.23,15.07,34127,205,14,13,0.19,0.527662855734974
"571",254.14,1800,48.25,-10.73,17.57,33086,205,14,12.9,0.19,0.71677529702018
"572",227.16,1900,48.25,-10.75,18,24421,200,14,12.9,0.19,0.728279885369881
"573",237.37,3600,48.25,-11.25,20.35,21883,200,14,13.7,0.19,0.87387873058028
"574",75.04,3000,48.25,-11.73,10.78,23888,150,13.9,13.8,0.19,1.13895989487337
"575",20.15,2000,47.75,-10.77,3.83,38239,206,14.2,14.2,0.19,1.1697823809098
"576",27.89,2000,47.75,-10.25,5.22,21008,200,14.3,14,0.19,1.02422272671641
"577",14.64,4450,47.75,-9.75,8.53,32056,200,14.4,14.3,0.19,0.843733439535055
"578",20.43,3500,47.75,-9.23,11.5,24356,110,14.5,14.5,0.19,0.603197316829838
"579",95.08,2500,47.75,-8.73,13.77,33325,200,14.6,14.5,0.19,0.563658429841832
"580",126.78,1560,47.75,-8.27,15.92,37791,200,14.2,14.2,0.19,0.514787041679909
"581",189.65,1350,47.75,-8.23,16.47,31020,210,14.2,14.2,0.19,0.501152093770415
"582",154.51,900,47.75,-7.77,18.53,18953,200,13.8,13.6,0.19,0.317969281430964
"583",116.22,770,47.75,-7.75,18.97,16983,200,13.8,13.6,0.19,0.306672634261918
"584",23.52,176,47.75,-7.25,21.3,11380,150,13.5,13.4,0.19,0.0177229089799383
"585",42.18,167,47.75,-6.75,23.88,14509,118,14.3,14.3,0.19,0.0946135502555588
"586",3.08,152,47.75,-6.27,2.33,8937,57,14.4,12.2,0.19,0.251157313196797
"587",6.39,134,47.75,-5.75,4.37,11098,59,15.4,15.5,0.19,0.434329528709992
"589",2.1,100,47.75,-4.75,8.45,11772,75,16.5,15.7,0.19,0.915007562386334
"590",8.51,122,47.25,-4.73,11.37,8136,72,16,15.8,0.19,0.627492384507748
"594",11.18,1314,47.25,-6.23,18.2,52571,120,14.7,14.7,0.19,0.176070361342624
"595",26.19,1115,47.25,-6.28,18.75,86474,120,14.7,14.7,0.19,0.197665777522132
"596",126.44,2300,47.25,-6.75,21.23,81782,200,15,14.2,0.19,0.401599982683513
"597",67.27,2500,47.25,-7.25,0.53,100118,200,14.4,14.4,0.19,0.449533118546642
"598",59.44,2500,47.25,-7.32,1.33,54621,200,14.4,14.4,0.19,0.466695628771148
"599",31.42,3000,47.25,-7.73,3.67,37803,203,14.1,14.1,0.19,0.64221560468202
"600",16.47,3000,47.25,-8.25,6.83,138647,200,14.1,14.1,0.19,0.976966590208491
"602",6.96,3000,47.25,-9.25,14.07,74845,231,14.4,14.4,0.19,1.09874713150875
"603",4.44,3000,47.25,-9.73,16.52,78679,210,14.3,14.3,0.19,1.26013602655853
"604",1.54,3000,47.25,-10.23,19.23,165983,212,13.9,13.9,0.19,1.50262919411945
"605",12.15,4000,46.75,-8.25,3.45,99678,221,14.1,14.1,0.19,1.35291017486457
"606",0.95,4000,46.75,-7.75,5.87,118643,204,14.3,14.3,0.19,1.09857335686843
"607",21.64,4000,46.75,-7.23,8.6,138584,200,14.3,13.9,0.19,0.936864506251288
"608",33.61,2000,46.75,-6.73,11.22,63958,230,14.28,13.85,0.19,0.848572659375701
"609",17.88,2000,46.75,-6.25,13.73,130968,205,15.1,12.6,0.19,0.640094991988242
"610",5.02,2000,46.75,-6.18,14.5,102498,205,15.1,12.6,0.19,0.614654641870073
"611",31.37,2000,46.75,-5.78,16.68,75839,200,15.7,14.6,0.19,0.441197396829489
"612",49.77,2000,46.75,-5.73,17.42,90744,210,15.7,14.6,0.19,0.422938294131488
"613",79.99,1000,46.75,-5.22,19.93,76849,200,14.7,14.5,0.19,0.02337524255013
"614",31.65,800,46.75,-5.12,21.02,94292,195,14.7,14.5,0.19,0.0759745132678839
"615",5.77,163,46.75,-4.77,23.23,36190,140,14.6,13.9,0.19,0.128676119391682
"616",4.05,158,46.75,-4.72,23.97,66650,140,14.6,13.9,0.19,0.143225384951178
"617",4.85,138,46.75,-4.3,2.37,25515,64,16.2,14.5,0.19,0.310312351779114
"618",5.01,142,46.75,-4.27,2.73,40450,57,16.2,14.5,0.19,0.329789996511009
"619",3.44,128,46.75,-3.78,4.95,58237,75,16.5,16.5,0.19,0.539494683103159
"620",4.1,124,46.75,-3.75,5.38,65794,71,16.5,16.5,0.19,0.558189028837524
"626",2.04,123,46.25,-3.25,22.13,76922,100,17,14.1,0.19,0.520643491578526
"627",0.98,133,46.25,-3.72,0.97,49534,100,16,15.6,0.19,0.221112692018819
"629",23.09,205,46.25,-4.22,4.35,101815,157,15.1,15.1,0.19,0.118112082830723
"630",20.71,237,46.25,-4.28,5.13,101540,155,15.1,15.1,0.19,0.12999085403577
"632",5.03,114,47.23,-4.25,22.15,52013,80,16.3,15,0.19,0.718192582030652
"633",2.34,100,47.25,-3.72,0.53,54483,80,16.4,12.4,0.19,0.994466977818198
